id;name;duration;description;language;image_url;publish_date
1;air Limousin;58511;../fake-data/blob/hipster.txt;Francais;exuding ab;2023-07-04T23:55:42
2;enterprise prestataire;84606;../fake-data/blob/hipster.txt;Anglais;Michaudine Rosalie;2023-07-05T04:55:15
3;Consultant;95312;../fake-data/blob/hipster.txt;Anglais;là reintermediate;2023-07-05T14:19:15
4;Femme;38285;../fake-data/blob/hipster.txt;Francais;Account Films noisette;2023-07-04T18:43:54
5;Epargne;94889;../fake-data/blob/hipster.txt;Arabe;Samarium;2023-07-05T03:13:59
6;Developpeur Congelé;59704;../fake-data/blob/hipster.txt;Francais;exercitationem Triplette Magnifique;2023-07-05T08:11:50
7;Antony;878;../fake-data/blob/hipster.txt;Anglais;la Account Intersex;2023-07-05T05:16:51
8;Pantalon safre executive;67580;../fake-data/blob/hipster.txt;Arabe;HDD Buckinghamshire connect;2023-07-05T13:05:31
9;Clichy;76069;../fake-data/blob/hipster.txt;Anglais;ukrainienne siemens;2023-07-05T12:48:16
10;c;75284;../fake-data/blob/hipster.txt;Anglais;Venezuela empower program;2023-07-05T03:39:12
